# (J2000) Period(ms) DM(pc/cm3) P_b(days) R(mJy) EPTA InPTA NANOGrav PPTA CPTA MPTA LOFAR
J1911−1114 3.63 31.0 2.7 1.0 - - - - V - V
J1911+1347 4.63 31.0 – 0.9 V - V - V - -
J1918−0642 7.65 26.6 10.9 0.6 V - V - V V V
J1923+2515 3.79 18.9 – 0.2 - - V - V - V
J1933−6211 3.54 11.5 12.8 1.0 - - - V - V -
J1939+2134c 1.56 71.0 – 13.9 - V V V - - -
J1944+0907 5.19 24.4 – 2.1 - - V - V - V
J1946+3417 3.17 110.2 27.0 0.9 - - V - V - -
J1946−5403 2.71 23.7 0.1 0.4 - - - - - V -
J1955+2908d 6.13 104.5 117.3 1.0 - - V - V - V
J2010−1323 5.22 22.2 – 0.7 - - V - V V -
J2017+0603 2.90 23.9 2.2 0.2 - - V - V - -
J2019+2425 3.94 17.2 76.5 0.3 - - - - V - -
J2022+2534 2.65 53.7 – – - - - - V - -
J2033+1734 5.95 25.1 56.3 0.3 - - V - V - -
J2039−3616 3.28 24.0 5.8 0.5 - - - - - V -
J2043+1711 2.38 20.7 1.5 0.1 - - V - V - V
J2051−0827 4.51 20.7 0.1 2.8 - - - - - - V
J2124−3358 4.93 4.6 – 4.5 V V V V - V -
J2129−5721 3.73 31.8 6.6 1.0 - - - V - V -
J2145−0750 16.05 9.0 6.8 5.5 - V V V V V V
J2150−0326 3.50 20.7 – 0.5 - - - - V V -
J2214+3000 3.12 22.5 0.4 0.5 - - V - V - -
J2222−0137 32.82 3.3 2.4 0.9 - - - - - V V
J2229+2643 2.98 22.7 93.0 0.8 - - V - V V -
J2234+0611 3.58 10.8 32.0 0.5 - - V - V - -
J2234+0944 3.63 17.8 0.4 1.9 - - V - V V -
J2241−5236 2.19 11.4 0.1 1.8 - - - V - V -
J2302+4442 5.19 13.8 125.9 1.4 - - V - V - V
J2317+1439 3.45 21.9 2.5 0.6 - - V - V V V
J2322+2057 4.81 13.4 – 0.3 V - V - V V -
J2322−2650 3.46 6.1 0.3 0.2 - - - - - V -
